Company,Last Price,Change (%),Volume,Turnover (Lakh)
ADANIPORTS,1347.1,4.43,14189485.0,191146.55
BAJAJFINSV,2026.2,3.12,2072866.0,42000.41
IOC,148.56,2.46,47538535.0,70623.25
M&M,3021.5,2.46,4048479.0,122324.79
ZEEL,108.69,1.67,6231907.0,6773.46
ITC,436.95,1.56,11522679.0,50348.35
BPCL,321.05,1.28,16035074.0,51480.6
HDFCLIFE,738.9,1.21,2761692.0,20406.14
POWERGRID,308.2,1.12,4342221.0,13382.73
HINDUNILVR,2348.6,1.05,2073175.0,48690.59
SBIN,790.0,1.02,23982575.0,189462.34
GRASIM,2755.1,0.92,661556.0,18226.53
BRITANNIA,5359.0,0.75,97144.0,5205.95
CIPLA,1542.9,0.71,786879.0,12140.76
BAJAJ-AUTO,7920.5,0.65,250173.0,19814.95
BAJFINANCE,8932.0,0.61,892161.0,79687.82
ASIANPAINT,2436.9,0.57,1229435.0,29960.1
SUNPHARMA,1836.6,0.48,1219780.0,22402.48
SHREECEM,29470.0,0.44,14607.0,4304.68
TATASTEEL,142.08,0.36,17206669.0,24447.24
TCS,3454.3,0.12,1284156.0,44358.6
RELIANCE,1431.3,0.02,12683452.0,181538.25
HEROMOTOCO,3767.6,-0.04,640153.0,24118.41
UPL,686.5,-0.07,1475241.0,10127.53
COALINDIA,385.6,-0.09,6393959.0,24655.11
BHARTIARTL,1866.0,-0.11,3548193.0,66209.28
HDFCBANK,1936.8,-0.11,7533238.0,145903.76
EICHERMOT,5460.5,-0.16,320452.0,17498.28
SBILIFE,1769.9,-0.17,947973.0,16778.17
WIPRO,243.57,-0.18,12160752.0,29619.94
TATAMOTORS,661.55,-0.21,8867193.0,58660.91
MARUTI,12458.0,-0.26,270014.0,33638.34
ULTRACEMCO,11670.0,-0.27,145681.0,17000.97
HINDALCO,633.4,-0.29,2551437.0,16160.8
TECHM,1494.6,-0.29,845962.0,12643.75
ONGC,239.2,-0.33,20083950.0,48040.81
INFY,1508.6,-0.42,4282162.0,64600.69
JSWSTEEL,955.5,-0.45,1645961.0,15727.16
LT,3330.2,-0.59,1947001.0,64839.03
NTPC,348.6,-0.68,9492264.0,33090.03
HCLTECH,1568.6,-0.72,1011678.0,15869.18
ICICIBANK,1429.4,-0.74,4564816.0,65249.48
NESTLEIND,2328.2,-0.88,913667.0,21271.99
KOTAKBANK,2084.9,-0.96,8821154.0,183912.23
INDUSINDBK,846.75,-0.96,7874987.0,66681.45
TITAN,3321.8,-1.07,565057.0,18770.06
DIVISLAB,6124.5,-1.31,399167.0,24446.98
AXISBANK,1173.2,-1.41,7235432.0,84886.08
DRREDDY,1171.3,-1.46,1893677.0,22180.64
HDFC,,,,